id,pergunta,resposta,classificação,classe_auto,anotacao_manual,correta,observacoes
43,O professor e os alunos compareceram à aula?,O professor compareceu.,Subinformativa,subinformativa,subinformativa,sim,
282,A Maria separou?,Não separou.,Completa,completa,completa,sim,
296,A Beatriz joga sinuca?,Ninguém joga.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
158,O site aprovou o pedido?,Tudo aprovou.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
239,A Catarina tem um lugar para ficar?,Ninguém têm.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
18,Seu pai e sua mãe sabem dirigir?,"Sabem, sim.",Completa,indefinida,completa,não,
165,O Henrique compareceu à visita?,"Sim, ele compareceu.",Completa,indefinida,completa,não,
34,Os adultos e as crianças gostaram do filme?,As crianças gostaram,Subinformativa,indefinida,subinformativa,não,
25,O Carlos e a Elci almoçaram?,A Elci almoçou.,Subinformativa,indefinida,subinformativa,não,
216,O arroz está salgado?,Não está.,Completa,indefinida,completa,não,
120,Os funcionários falaram com o chefe?,"Sim, eles falaram.",Completa,completa,completa,sim,
8,A Giovana foi ao show com o Gabriel?,Todo mundo foi.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
91,O Caio e o Fernando compareceram ao evento?,O Caio compareceu.,Subinformativa,subinformativa,subinformativa,sim,
47,A Cláudia e a Helena concluíram a tarefa?,Todo mundo concluiu.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
74,O carro bateu?,Nada bateu.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
94,A Maria e a Ana concluíram o pedido?,A Maria concluiu.,Subinformativa,subinformativa,subinformativa,sim,
77,O Paulo leu o livro?,Ninguém leu.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
287,O cartão foi roubado?,Tudo foi.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
61,A Amanda e o Daniel falam espanhol?,O Daniel fala.,Subinformativa,subinformativa,subinformativa,sim,
78,O Paulo leu o livro?,Não leu.,Completa,completa,completa,sim,
64,A Elisa e a Isabel sabem tocar piano?,A Elisa sabe.,Subinformativa,subinformativa,subinformativa,sim,
235,O Jean e o Eric conhecem o Jorge?,O Jean conhece.,Subinformativa,subinformativa,subinformativa,sim,
230,A Joyce fala italiano?,Todas elas falam.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
112,O filho e o amigo fecharam a porta?,O amigo fechou.,Subinformativa,indefinida,subinformativa,não,
232,A Gabi e a Fernanda sabem andar a cavalo?,A Gabi sabe.,Subinformativa,subinformativa,subinformativa,sim,
181,O Rafael e a Melissa foram ao parque?,A Melissa foi.,Subinformativa,subinformativa,subinformativa,sim,
145,O Bruno e a Letícia foram ao parque?,O Bruno foi.,Subinformativa,subinformativa,subinformativa,sim,
240,A Catarina tem um lugar para ficar?,"Tem, sim.",Completa,indefinida,completa,não,
76,A Ana e o Paulo leram o livro?,A Ana leu.,Subinformativa,subinformativa,subinformativa,sim,
298,O Vinícius e o Kauã são primos da Letícia?,O Vinícius é.,Subinformativa,subinformativa,subinformativa,sim,
279,A Laura escreveu o livro?,Escreveu.,Completa,indefinida,completa,não,
98,O avião decolou?,Nada decolou.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
93,O Fernando compareceu ao evento?,"Sim, compareceu.",Completa,completa,completa,sim,
193,O Gabriel e a Renata viram o filme?,A Renata viu.,Subinformativa,indefinida,subinformativa,não,
26,O Carlos e a Elci almoçaram?,Todo o grupo almoçou junto.,Sobreinformativa,indefinida,sobreinformativa,não,
233,A Gabi sabe andar a cavalo?,Todo mundo sabe.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
60,O palhaço participou do circo?,"Sim, ele participou.",Completa,completa,completa,sim,
7,A Giovana foi ao show com o Gabriel?,"Sim, foi",Completa,indefinida,completa,não,
186,O Tiago chegou à festa?,Chegou.,Completa,indefinida,completa,não,
174,O Roberto foi à praia com a Júlia?,"Sim, ele foi.",Completa,indefinida,completa,não,
31,Os alunos e os professores compraram os ingressos?,Os professores compraram.,Subinformativa,indefinida,subinformativa,não,
23,Sua irmã e seu cunhado têm carro?,Ninguém próximo a mim tem.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
257,O banco concedeu o empréstimo?,Nada concedeu.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
57,O Lucas foi ao compromisso com a Lia?,Não foi.,Completa,indefinida,completa,não,
187,O Caio e a Marcela estudaram para a prova?,A Marcela estudou.,Subinformativa,sobreinformativa,subinformativa,não,
109,A Juliana e a Talita foram ao shopping com a Renata?,A Juliana foi.,Subinformativa,subinformativa,subinformativa,sim,
127,A dona e o dono levaram o cachorro ao veterinário?,A dona levou.,Subinformativa,subinformativa,subinformativa,sim,
231,A Joyce fala italiano?,Não fala.,Completa,completa,completa,sim,
194,O Gabriel viu o filme?,Todo mundo viu.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
130,O Diego e a Bruna participaram do jogo?,O Diego participou.,Subinformativa,subinformativa,subinformativa,sim,
283,O Lucas e o João furtaram a loja?,O Lucas furtou.,Subinformativa,subinformativa,subinformativa,sim,
83,A Vanessa gostou da festa?,Todos gostaram.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
85,O brinco e o colar estão quebrados?,O colar está.,Subinformativa,indefinida,subinformativa,não,
67,A Melissa e o Roberto conhecem o Bruno?,O Roberto conhece.,Subinformativa,indefinida,subinformativa,não,
289,A senha e a digital estão corretas?,A digital está.,Subinformativa,indefinida,subinformativa,não,
164,O Henrique compareceu à visita?,Todos compareceram.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
155,A Mariana gostou do restaurante?,Todo mundo gostou.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
20,O Caio e a Júlia conhecem a Raquel?,Todo mundo conhece,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
125,A Paula chegou à consulta?,Todos chegaram.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
80,A internet foi desligada?,Tudo foi.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
115,A Marcela e a Joana conheceram o cachorro?,A Joana conheceu.,Subinformativa,indefinida,subinformativa,não,
119,Os funcionários falaram com o chefe?,Todos falaram.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
73,O carro e o ônibus bateram?,O carro bateu.,Subinformativa,subinformativa,subinformativa,sim,
16,Seu pai e sua mãe sabem dirigir?,Minha mãe sabe.,Subinformativa,indefinida,subinformativa,não,
11,O Rafael e a Laura participaram da reunião?,Ninguém participou.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
