id,pergunta,resposta,classificação
67,A Melissa e o Roberto conhecem o Bruno?,O Roberto conhece.,Subinformativa
68,A Melissa conhece o Bruno?,Todo mundo conhece.,Sobreinformativa
69,A Melissa conhece o Bruno?,Conhece.,Completa
70,O Lucas e a Bruna têm apartamento?,A Bruna tem.,Subinformativa
71,O Lucas tem apartamento?,Todos tem.,Sobreinformativa
72,O Lucas tem apartamento?,Não tem.,Completa
73,O carro e o ônibus bateram?,O carro bateu.,Subinformativa
74,O carro bateu?,Nada bateu.,Sobreinformativa
75,O carro bateu?,Bateu.,Completa
76,A Ana e o Paulo leram o livro?,A Ana leu.,Subinformativa
77,O Paulo leu o livro?,Ninguém leu.,Sobreinformativa
78,O Paulo leu o livro?,Não leu.,Completa
79,A internet e a luz foram desligadas?,A luz foi.,Subinformativa
80,A internet foi desligada?,Tudo foi.,Sobreinformativa
81,A internet foi desligada?,Sim.,Completa
82,O Marcelo e a Vanessa gostaram da festa?,O Marcelo gostou.,Subinformativa
83,A Vanessa gostou da festa?,Todos gostaram.,Sobreinformativa
84,A Vanessa gostou da festa?,Não.,Completa
85,O brinco e o colar estão quebrados?,O colar está.,Subinformativa
86,O brinco está quebrado?,Nada está.,Sobreinformativa
87,O brinco está quebrado?,"Sim, está.",Completa
88,O vendedor e o gerente atenderam ao pedido?,O gerente atendeu.,Subinformativa
89,O vendedor atendeu ao pedido?,Ninguém atendeu.,Sobreinformativa
90,O vendedor atendeu ao pedido?,Não atendeu.,Completa
91,O Caio e o Fernando compareceram ao evento?,O Caio compareceu.,Subinformativa
92,O Fernando compareceu ao evento?,Todo mundo compareceu.,Sobreinformativa
93,O Fernando compareceu ao evento?,"Sim, compareceu.",Completa
94,A Maria e a Ana concluíram o pedido?,A Maria concluiu.,Subinformativa
95,A Maria concluiu o pedido?,Ninguém concluiu.,Sobreinformativa
96,A Maria concluiu o pedido?,"Não, não concluiu.",Completa
97,O avião e o helicótero decolaram?,O avião decolou.,Subinformativa
98,O avião decolou?,Nada decolou.,Sobreinformativa
99,O avião decolou?,Decolou.,Completa
100,O pai e a mãe chegaram a tempo?,A mãe chegou.,Subinformativa
101,O pai chegou a tempo?,Ninguém chegou.,Sobreinformativa
102,O pai chegou a tempo?,"Sim, ele chegou.",Completa
103,A Lisa e o João participaram do jogo?,O João participou.,Subinformativa
104,A Lisa participou do jogo?,Todo mundo participou.,Sobreinformativa
105,A Lisa participou do jogo?,"Não, não participou.",Completa
106,A diretora e o coordenador foram à apresentação das meninas?,A diretora foi.,Subinformativa
107,O coordenador foi à apresentação das meninas?,Todos foram.,Sobreinformativa
108,O coordenador foi à apresentação das meninas?,"Sim, ele foi.",Completa
109,A Juliana e a Talita foram ao shopping com a Renata?,A Juliana foi.,Subinformativa
110,A Juliana foi ao shopping com a Renata?,Ninguém foi.,Sobreinformativa
111,A Juliana foi ao shopping com a Renata?,Não foi.,Completa
112,O filho e o amigo fecharam a porta?,O amigo fechou.,Subinformativa
113,O filho fechou a porta?,Ninguém fechou.,Sobreinformativa
114,O filho fechou a porta?,Sim.,Completa
115,A Marcela e a Joana conheceram o cachorro?,A Joana conheceu.,Subinformativa
116,A Marcela conheceu o cachorro?,Todos conheceram.,Sobreinformativa
117,A Marcela conheceu o cachorro?,Conheceu.,Completa
118,Os funcionários e as funcionárias falaram com o chefe?,Os funcionários falaram.,Subinformativa
119,Os funcionários falaram com o chefe?,Todos falaram.,Sobreinformativa
120,Os funcionários falaram com o chefe?,"Sim, eles falaram.",Completa
121,O Vitor e o Lucas foram ao trabalho?,O Lucas foi.,Subinformativa
122,O Vitor foi ao trabalho?,Ninguém foi.,Sobreinformativa
123,O Vitor foi ao trabalho?,Não foi.,Completa
124,A Ana e a Paula chegaram à consulta?,A Ana chegou.,Subinformativa
125,A Paula chegou à consulta?,Todos chegaram.,Sobreinformativa
126,A Paula chegou à consulta?,"Sim, chegou.",Completa
127,A dona e o dono levaram o cachorro ao veterinário?,A dona levou.,Subinformativa
128,O dono levou o cachorro ao veterinário?,Todos levaram.,Sobreinformativa
129,O dono levou o cachorro ao veterinário?,Levou.,Completa
130,O Diego e a Bruna participaram do jogo?,O Diego participou.,Subinformativa
131,A Bruna participou do jogo?,Ninguém participou.,Sobreinformativa
132,A Bruna participou do jogo?,"Não, não participou.",Completa
133,O Jairo e o Douglas falam alemão?,O Jairo fala. ,Subinformativa
134,O Jairo fala alemão?,Todo mundo fala.,Sobreinformativa
135,O Jairo fala alemão?,Sim.,Completa
136,A cantora e o violinista sabem tocar violão?,A cantora sabe.,Subinformativa
137,A cantora sabe tocar violão?,Todas sabem.,Sobreinformativa
138,A cantora sabe tocar violão?,Claro que sabe.,Completa
139,O Theo e a Charlotte conhecem a Amanda?,A Charlotte conhece.,Subinformativa
140,O Theo conhece a Amanda?,Todos conhecem.,Sobreinformativa
141,O Theo conhece a Amanda?,Óbvio.,Completa
142,O Ricardo e a Marisa têm casa própria?,A Marisa tem.,Subinformativa
143,O Ricardo e a Marisa têm casa própria?,Ninguém têm.,Sobreinformativa
144,O Ricardo e a Marisa têm casa própria?,Aham.,Completa
145,O Bruno e a Letícia foram ao parque?,O Bruno foi.,Subinformativa
146,O Bruno foi ao parque?,Todo mundo foi.,Sobreinformativa
147,O Bruno foi ao parque?,Não foi.,Completa
148,A Melissa e a Isabela terminaram o filme?,A Melissa terminou.,Subinformativa
149,A Melissa terminou o filme?,Todos terminaram.,Sobreinformativa
150,A Melissa terminou o filme?,Claro que terminou.,Completa
151,A Sílvia e o Mário compraram a moto?,O Mário comprou.,Subinformativa
152,O Mário comprou a moto?,Nenhum amigo comprou.,Sobreinformativa
153,O Mário comprou a moto?,Comprou. ,Completa
154,A Fernanda e a Mariana gostaram do restuarante?,A Mariana gostou.,Subinformativa
155,A Mariana gostou do restaurante?,Todo mundo gostou.,Sobreinformativa
156,A Mariana gostou do restaurante?,"Sim, claro que gostou.",Completa
157,O site e a empresa aprovaram o pedido?,A empresa aprovou.,Subinformativa
158,O site aprovou o pedido?,Tudo aprovou.,Sobreinformativa
159,O site aprovou o pedido?,Aprovou.,Completa
160,A Anna Helena e a Ângela responderam ao pedido?,A Anna Helena respondeu.,Subinformativa
161,A Ângela respondeu ao pedido?,Ninguém respondeu.,Sobreinformativa
162,A Ângela respondeu ao pedido?,Óbvio que respondeu.,Completa
163,O Henrique e o Rodrigo compareceram à visita?,O Henrique compareceu.,Subinformativa
164,O Henrique compareceu à visita?,Todos compareceram.,Sobreinformativa
165,O Henrique compareceu à visita?,"Sim, ele compareceu.",Completa
166,O Márcio e o Rivo concluíram a conversa?,O Rivo concluiu. ,Subinformativa
167,O Márcio concluiu a conversa?,Ninguém concluiu.,Sobreinformativa
168,O Márcio concluiu a conversa?,Não concluiu. ,Completa
169,A Aline e o Marcel chegaram à cerimônia? ,A Aline chegou.,Subinformativa
170,O Marcel chegou à cerimônia?,Todo mundo chegou.,Sobreinformativa
171,O Marcel chegou à cerimônia?,Claro que chegou.,Completa
172,O Roberto e a Lica foram à praia com a Júlia?,A Lica foi.,Subinformativa
173,O Roberto foi à praia com a Júlia?,Ninguém foi.,Sobreinformativa
174,O Roberto foi à praia com a Júlia?,"Sim, ele foi.",Completa
175,A Natália e a Luísa participaram da formatura?,A Luísa participou. ,Subinformativa
176,A Luísa participou da formatura?,Todas participaram.,Sobreinformativa
177,A Luísa participou da formatura?,Participou.,Completa
178,O piso e as paredes estão molhadas?,O piso está.,Subinformativa
179,O piso está molhado?,Tudo está.,Sobreinformativa
180,O piso está molhado?,Não está.,Completa
181,O Rafael e a Melissa foram ao parque?,A Melissa foi.,Subinformativa
182,O Rafael foi ao parque?,Todos foram.,Sobreinformativa
183,O Rafael foi ao parque?,Sim.,Completa
184,O Tiago e a Vanessa chegaram à festa?,A Vanessa chegou.,Subinformativa
185,O Tiago chegou à festa?,Ninguém chegou.,Sobreinformativa
186,O Tiago chegou à festa?,Chegou.,Completa
187,O Caio e a Marcela estudaram para a prova?,A Marcela estudou.,Subinformativa
188,O Caio estudou para a prova?,Todos estudaram.,Sobreinformativa
189,O Caio estudou para a prova?,Não.,Completa
190,O Caio e a Mariana compraram o presente?,A Mariana comprou.,Subinformativa
191,O Caio comprou o presente?,Todos compraram.,Sobreinformativa
192,O Caio comprou o presente?,Comprou.,Completa
193,O Gabriel e a Renata viram o filme?,A Renata viu.,Subinformativa
194,O Gabriel viu o filme?,Todo mundo viu.,Sobreinformativa
195,O Gabriel viu o filme?,"Sim, ele viu.",Completa
196,O Gabriel e a Mariana falaram com o diretor?,A Mariana falou.,Subinformativa
197,O Gabriel falou com o diretor?,Todos falaram.,Sobreinformativa
198,O Gabriel falou com o diretor?,Falou.,Completa
199,O Rafael e a Maria terminaram o relatório?,A Maria terminou.,Subinformativa
200,O Rafael terminou o relatório?,Todos terminaram.,Sobreinformativa
201,O Rafael terminou o relatório?,Não terminou.,Completa
202,O Caio e a Talita gostaram da viagem?,A Talita gostou.,Subinformativa
203,O Caio gostou da viagem?,Ninguém gostou.,Sobreinformativa
204,O Caio gostou da viagem?,"Sim, gostou.",Completa
205,O Gabriel e a Paula conheceram o museu?,A Paula conheceu.,Subinformativa
206,O Gabriel conheceu o museu?,Todo mundo conheceu.,Sobreinformativa
207,O Gabriel conheceu o museu?,Não.,Completa
208,O Caio e a Bruna participaram do evento?,A Bruna participou.,Subinformativa
209,O Caio participou do evento?,Todos participaram.,Sobreinformativa
210,O Caio participou do evento?,Participou.,Completa
211,O Henrique e a Mariana comeram a pizza?,A Mariana comeu.,Subinformativa
212,O Henrique comeu a pizza?,Ninguém comeu.,Sobreinformativa
213,O Henrique comeu a pizza?,Não comeu.,Completa
214,O arroz e o feijão estão salgados?,O arroz está.,Subinformativa
215,O arroz está salgado?,Nada está.,Sobreinformativa
216,O arroz está salgado?,Não está.,Completa
217,O Otávio e o Lucca foram ao jogo?,O Lucca foi.,Subinformativa
218,O Otávio foi ao jogo?,Ninguém foi. ,Sobreinformativa
219,O Otávio foi ao jogo?,Foi.,Completa
220,A Iasmin e a Luana chegaram ao teatro?,A Luana chegou.,Subinformativa
221,A Luana chegou ao teatro?,Todo mundo chegou.,Sobreinformativa
222,A Luana chegou ao teatro?,"Sim, chegou.",Completa
223,O Eduardo e o Pedro Henrique foram à igreja com as crianças?,O Eduardo foi.,Subinformativa
224,O Eduardo foi à igreja com as crianças?,Ninguém foi.,Sobreinformativa
225,O Eduardo foi à igreja com as crianças?,Foi.,Completa
226,O João Paulo e a Vitória participaram da viagem?,A Vitória participou.,Subinformativa
227,O João Paulo participou da viagem?,Ninguém participou.,Sobreinformativa
228,O João Paulo participou da viagem?,Sim.,Completa
229,A Nívia e a Joyce falam italiano?,A Joyce fala.,Subinformativa
230,A Joyce fala italiano?,Todas elas falam.,Sobreinformativa
231,A Joyce fala italiano?,Não fala.,Completa
232,A Gabi e a Fernanda sabem andar a cavalo?,A Gabi sabe.,Subinformativa
233,A Gabi sabe andar a cavalo?,Todo mundo sabe.,Sobreinformativa
234,A Gabi sabe andar a cavalo?,Sabe.,Completa
235,O Jean e o Eric conhecem o Jorge?,O Jean conhece.,Subinformativa
236,O Eric conhece o Jorge?,Ninguém conhece.,Sobreinformativa
237,O Eric conhece o Jorge?,"Não, não conhece.",Completa
238,A Iane e a Catarina têm um lugar para ficar?,A Catarina tem.,Subinformativa
239,A Catarina tem um lugar para ficar?,Ninguém têm.,Sobreinformativa
240,A Catarina tem um lugar para ficar?,"Tem, sim.",Completa
241,A Duda e a Ana viram o show?,A Duda viu.,Subinformativa
242,A Duda viu o show?,Todo mundo viu.,Sobreinformativa
243,A Duda viu o show?,Não viu.,Completa
244,A Maisa e a Larissa terminaram de ensaiar?,A Larissa terminou.,Subinformativa
245,A Larissa terminou de ensaiar?,Todos terminaram.,Sobreinformativa
246,A Larissa terminou de ensaiar?,Terminou.,Completa
247,O Gustavo e a Sofia compraram os livros?,A Sofia comprou.,Subinformativa
248,O Gustavo comprou os livros?,Nenhum deles comprou.,Sobreinformativa
249,O Gustavo comprou os livros?,Não comprou.,Completa
250,O Guilherme e o Bruno gostaram do congresso?,O Guilherme gostou.,Subinformativa
251,O Gui gostou do congresso?,Todos gostaram.,Sobreinformativa
252,O Gui gostou do congresso?,Gostou.,Completa
253,A secretária e o recepcionista cancelaram o agendamento?,O recepcionista cancelou.,Subinformativa
254,A secretária cancelou o agendamento?,Ninguém cancelou.,Sobreinformativa
255,A secretária cancelou o agendamento?,Sim.,Completa
256,O banco e a agência concederam o empréstimo?,O banco concedeu.,Subinformativa
257,O banco concedeu o empréstimo?,Nada concedeu.,Sobreinformativa
258,O banco concedeu o empréstimo?,Não.,Completa
259,Os clientes e os funcionários compareceram à reunião?,Os clientes compareceram.,Subinformativa
260,Os funcionários compareceram à reunião?,Todo mundo compareceu.,Sobreinformativa
261,Os funcionários compareceram à reunião?,Claro que compareceram.,Completa
262,O celular e o notebook terminaram de carregar?,O celular terminou.,Subinformativa
263,O celular terminou de carregar?,Tudo terminou.,Sobreinformativa
264,O celular terminou de carregar?,Não terminou.,Completa
265,O noivo e a noiva pagaram o casamento?,O noivo pagou.,Subinformativa
266,O noivo pagou o casamento?,Todos pagaram.,Sobreinformativa
267,O noivo pagou o casamento?,Pagou.,Completa
268,O diretor e o ator apareceram no filme?,O ator apareceu.,Subinformativa
269,O diretor apareceu no filme?,Todo mundo apareceu.,Sobreinformativa
270,O diretor apareceu no filme?,Não.,Completa
271,O professor e o aluno falam inglês bem?,O professor fala.,Subinformativa
272,O professor fala inglês bem?,Ninguém fala.,Sobreinformativa
273,O professor fala inglês bem?,"Sim, ele fala.",Completa
274,O Pablo e o Guga lutam karatê?,O Pablo luta.,Subinformativa
275,O Pablo luta karatê?,Todos eles lutam.,Sobreinformativa
276,O Pablo luta karatê?,Sim.,Completa
277,A Luna e a Laura escreveram o livro?,A Laura escreveu.,Subinformativa
278,A Laura escreveu o livro?,Ninguém escreveu.,Sobreinformativa
279,A Laura escreveu o livro?,Escreveu.,Completa
280,A Maria e o Robson separaram?,A Maria separou.,Subinformativa
281,A Maria separou?,Ninguém separou.,Sobreinformativa
282,A Maria separou?,Não separou.,Completa
283,O Lucas e o João furtaram a loja?,O Lucas furtou.,Subinformativa
284,O João furtou a loja?,Todos furtaram.,Sobreinformativa
285,O João furtou a loja?,Sim.,Completa
286,O cartão e a carteira foram roubadas?,O cartão foi.,Subinformativa
287,O cartão foi roubado?,Tudo foi.,Sobreinformativa
288,O cartão foi roubado?,Foi.,Completa
289,A senha e a digital estão corretas?,A digital está.,Subinformativa
290,A senha está correta?,Nada está.,Sobreinformativa
291,A senha está correta?,Não.,Completa
292,A Patrícia e a Naty são do sul?,A Nat é.,Subinformativa
293,A Paty é do sul?,Nenhuma é.,Sobreinformativa
294,A Paty é do sul?,"É, sim.",Completa
295,Samuel e Beatriz jogam sinuca?,A Beatriz joga.,Subinformativa
296,A Beatriz joga sinuca?,Ninguém joga.,Sobreinformativa
297,A Beatriz joga sinuca?,Joga.,Completa
298,O Vinícius e o Kauã são primos da Letícia?,O Vinícius é.,Subinformativa
299,O Vini é primo da Letícia?,Todos são.,Sobreinformativa
300,O Vini é primo da Letícia?,Sim.,Completa
